category,metric,value,timestamp
"Metadata","Report Version","undefined","2026-01-25T06:18:51.887Z"
"Metadata","Contract Address","0x05D032ac25d322df992303dCa074EE7392C117b9","2026-01-25T06:18:51.887Z"
