category,metric,value,timestamp
"Metadata","Report Version","undefined","2026-01-29T16:02:42.560Z"
"Metadata","Contract Address","0xd9e1ce17f2641f24ae83637ab66a2cca9c378b9f","2026-01-29T16:02:42.560Z"
