category,metric,value,timestamp
"Metadata","Report Version","undefined","2026-01-30T11:55:52.380Z"
"Metadata","Contract Address","0xd9e1ce17f2641f24ae83637ab66a2cca9c378b9f","2026-01-30T11:55:52.380Z"
