category,metric,value,timestamp
"Metadata","Report Version","undefined","2026-01-29T16:02:46.713Z"
"Metadata","Contract Address","0xdef1c0ded9bec7f1a1670819833240f027b25eff","2026-01-29T16:02:46.713Z"
