category,metric,value,timestamp
"Metadata","Report Version","undefined","2026-01-30T11:55:56.748Z"
"Metadata","Contract Address","0xdef1c0ded9bec7f1a1670819833240f027b25eff","2026-01-30T11:55:56.748Z"
