category,metric,value,timestamp
"Metadata","Report Version","undefined","2026-01-28T12:50:03.072Z"
"Metadata","Contract Address","0x05D032ac25d322df992303dCa074EE7392C117b9","2026-01-28T12:50:03.072Z"
