category,metric,value,timestamp
"Metadata","Report Version","undefined","2026-01-29T01:18:48.256Z"
"Metadata","Contract Address","0x68b3465833fb72a70ecdf485e0e4c7bd8665fc45","2026-01-29T01:18:48.256Z"
