category,metric,value,timestamp
"Metadata","Report Version","undefined","2026-01-29T01:18:47.890Z"
"Metadata","Contract Address","0x1111111254fb6c44bac0bed2854e76f90643097d","2026-01-29T01:18:47.890Z"
