category,metric,value,timestamp
"Metadata","Report Version","undefined","2026-01-29T01:18:46.678Z"
"Metadata","Contract Address","0xfc102D4807A92B08080D4d969Dfda59C3C01B02F","2026-01-29T01:18:46.678Z"
