category,metric,value,timestamp
"Metadata","Report Version","undefined","2026-01-30T11:55:48.802Z"
"Metadata","Contract Address","0xfc102D4807A92B08080D4d969Dfda59C3C01B02F","2026-01-30T11:55:48.802Z"
