category,metric,value,timestamp
"Metadata","Report Version","undefined","2026-01-29T16:02:40.691Z"
"Metadata","Contract Address","0xfc102D4807A92B08080D4d969Dfda59C3C01B02F","2026-01-29T16:02:40.691Z"
